1	0.659566	SUPERFIELD
2:3:5	0.0011797	ASTROPHYS J SUPPL S	ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES
2:3:6	0.00039839	PUBL ASTRON SOC PAC	PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC
2:3:7	0.00027134	ANNU REV ASTRON ASTR	ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS
2:3:8	0.00022542	SPACE SCI REV	SPACE SCIENCE REVIEWS
2:3:9	5.602e-05	ACTA ASTRONOM	ACTA ASTRONOMICA
2:3:10	1.79e-05	ASTRON ASTROPHYS REV	ASTRONOMY AND ASTROPHYSICS REVIEW
2:4	0.0147481	NO SUGGESTION
2:4:1	0.0021606	PHYS LETT B	PHYSICS LETTERS B
2:4:2	0.0013715	NUCL PHYS B	NUCLEAR PHYSICS B
2:4:3	0.00016165	ANN PHYS-NEW YORK	ANNALS OF PHYSICS
2:4:4	0.00015881	ASTROPART PHYS	ASTROPARTICLE PHYSICS
2:4:5	9.28e-05	PROG PART NUCL PHYS	PROGRESS IN PARTICLE AND NUCLEAR PHYSICS
2:4:6	7.2179e-05	ANNU REV NUCL PART S	ANNUAL REVIEW OF NUCLEAR AND PARTICLE SCIENCE
2:4:7	4.4629e-05	ATOM DATA NUCL DATA	ATOMIC DATA AND NUCLEAR DATA TABLES
2:5	0.0113632	NO SUGGESTION
2:5:1	0.0022279	ANAL CHEM	ANALYTICAL CHEMISTRY
2:5:2	0.00014775	TRAC-TREND ANAL CHEM	TRAC-TRENDS IN ANALYTICAL CHEMISTRY
2:5:3	8.4928e-05	MASS SPECTROM REV	MASS SPECTROMETRY REVIEWS
2:6	0.00808179	MATERIAL ENGINEERING
2:6:1	0.00030082	J MECH PHYS SOLIDS	JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS
2:6:2	7.4407e-06	ADV APPL MECH	ADVANCES IN APPLIED MECHANICS
2:7	0.00673387	FLUID MECHANICS
2:7:1	0.00070659	J FLUID MECH	JOURNAL OF FLUID MECHANICS
